# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/675a10d1f6d4b59589a23158/records/swing_node_stuff.csv
# date...... Wed Dec 11 17:25:47 2024
# user...... david
# host...... (null)
# target.... node 8
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,voltage_A
2009-01-01 00:00:00 PST,+132790+0j
2009-01-01 00:01:00 PST,+137570+0j
2009-01-01 00:02:00 PST,+142340+0j
2009-01-01 00:03:00 PST,+139762+0j
2009-01-01 00:04:00 PST,+140873+0j
2009-01-01 00:05:00 PST,+138501+0j
2009-01-01 00:06:00 PST,+142697+0j
2009-01-01 00:07:00 PST,+133981+0j
2009-01-01 00:08:00 PST,+135480+0j
2009-01-01 00:09:00 PST,+139369+0j
2009-01-01 00:10:00 PST,+140810+0j
2009-01-01 00:11:00 PST,+137113+0j
2009-01-01 00:12:00 PST,+138598+0j
2009-01-01 00:13:00 PST,+139242+0j
2009-01-01 00:14:00 PST,+132906+0j
2009-01-01 00:15:00 PST,+138524+0j
2009-01-01 00:16:00 PST,+133865+0j
2009-01-01 00:17:00 PST,+142868+0j
2009-01-01 00:18:00 PST,+137099+0j
2009-01-01 00:19:00 PST,+138986+0j
2009-01-01 00:20:00 PST,+141928+0j
2009-01-01 00:21:00 PST,+143622+0j
2009-01-01 00:22:00 PST,+135664+0j
2009-01-01 00:23:00 PST,+145736+0j
2009-01-01 00:24:00 PST,+144259+0j
2009-01-01 00:25:00 PST,+141079+0j
2009-01-01 00:26:00 PST,+138006+0j
2009-01-01 00:27:00 PST,+136831+0j
2009-01-01 00:28:00 PST,+141082+0j
2009-01-01 00:29:00 PST,+140105+0j
2009-01-01 00:30:00 PST,+145502+0j
2009-01-01 00:31:00 PST,+143534+0j
2009-01-01 00:32:00 PST,+137583+0j
2009-01-01 00:33:00 PST,+144461+0j
2009-01-01 00:34:00 PST,+136180+0j
2009-01-01 00:35:00 PST,+137167+0j
2009-01-01 00:36:00 PST,+135006+0j
2009-01-01 00:37:00 PST,+141748+0j
2009-01-01 00:38:00 PST,+145903+0j
2009-01-01 00:39:00 PST,+141442+0j
2009-01-01 00:40:00 PST,+142135+0j
2009-01-01 00:41:00 PST,+137260+0j
2009-01-01 00:42:00 PST,+139417+0j
2009-01-01 00:43:00 PST,+142097+0j
2009-01-01 00:44:00 PST,+141813+0j
2009-01-01 00:45:00 PST,+136009+0j
2009-01-01 00:46:00 PST,+138614+0j
2009-01-01 00:47:00 PST,+135228+0j
2009-01-01 00:48:00 PST,+136348+0j
2009-01-01 00:49:00 PST,+133129+0j
2009-01-01 00:50:00 PST,+136707+0j
2009-01-01 00:51:00 PST,+140954+0j
2009-01-01 00:52:00 PST,+133925+0j
2009-01-01 00:53:00 PST,+135780+0j
2009-01-01 00:54:00 PST,+134783+0j
2009-01-01 00:55:00 PST,+144217+0j
2009-01-01 00:56:00 PST,+143753+0j
2009-01-01 00:57:00 PST,+139077+0j
2009-01-01 00:58:00 PST,+137295+0j
2009-01-01 00:59:00 PST,+132790+0j
# end of tape
